Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Hostname :  wr12
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[0] 	 RMSE: 0.5752 	 NLL: 17.1243 	 train_loss: 0.4817 	 t: 11.81 sec
[100] 	 RMSE: 0.2506 	 NLL: 2.0744 	 train_loss: 0.0698 	 t: 22.54 sec
[200] 	 RMSE: 0.2335 	 NLL: 1.6143 	 train_loss: 0.0588 	 t: 22.56 sec
[300] 	 RMSE: 0.2297 	 NLL: 1.4773 	 train_loss: 0.0461 	 t: 22.62 sec
[400] 	 RMSE: 0.2297 	 NLL: 1.4773 	 train_loss: 0.0472 	 t: 22.35 sec
[500] 	 RMSE: 0.2297 	 NLL: 1.4773 	 train_loss: 0.0499 	 t: 22.11 sec
[600] 	 RMSE: 0.2141 	 NLL: 1.0510 	 train_loss: 0.0477 	 t: 23.65 sec
[700] 	 RMSE: 0.2083 	 NLL: 0.9146 	 train_loss: 0.0622 	 t: 22.44 sec
[800] 	 RMSE: 0.2083 	 NLL: 0.9146 	 train_loss: 0.0449 	 t: 22.14 sec
[900] 	 RMSE: 0.2040 	 NLL: 0.7928 	 train_loss: 0.0574 	 t: 22.47 sec
[1000] 	 RMSE: 0.2040 	 NLL: 0.7928 	 train_loss: 0.0428 	 t: 22.16 sec
[1100] 	 RMSE: 0.2007 	 NLL: 0.7010 	 train_loss: 0.0441 	 t: 22.60 sec
[1200] 	 RMSE: 0.2007 	 NLL: 0.7010 	 train_loss: 0.0427 	 t: 22.04 sec
[1300] 	 RMSE: 0.2007 	 NLL: 0.7010 	 train_loss: 0.0400 	 t: 22.05 sec
[1400] 	 RMSE: 0.2007 	 NLL: 0.7010 	 train_loss: 0.0372 	 t: 21.67 sec
[1500] 	 RMSE: 0.2007 	 NLL: 0.7010 	 train_loss: 0.0530 	 t: 20.62 sec
[1600] 	 RMSE: 0.2007 	 NLL: 0.6523 	 train_loss: 0.0369 	 t: 20.78 sec
[1700] 	 RMSE: 0.2007 	 NLL: 0.6523 	 train_loss: 0.0347 	 t: 20.39 sec
[1800] 	 RMSE: 0.2003 	 NLL: 0.6497 	 train_loss: 0.0389 	 t: 22.50 sec
