Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Sa 17. Apr 13:14:37 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[0]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: 1.4930 	 reg_loss: 1.5664 	 lambda: 0.20 	 t: 14.67 sec
[100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.01 sec
[400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.10 sec
[700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.65 sec
[800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.13 sec
[900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.09 sec
[1000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[1100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[1200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[1300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[1400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[1500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[1600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[1700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[1800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.90 sec
[1900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[2000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[2100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[2200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.11 sec
[2300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[2400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[2500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[2600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[2700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[2800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[2900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[3000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[3100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[3200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[3300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.12 sec
[3400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.17 sec
[3500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[3600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[3700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.01 sec
[3800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[3900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[4000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[4100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[4200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[4300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[4400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[4500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[4600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.09 sec
[4700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[4800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.92 sec
[4900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[5000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[5100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[5200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[5300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[5400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[5500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.95 sec
[5600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[5700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[5800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[5900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.12 sec
[6000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[6100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[6200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.94 sec
[6300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[6400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.10 sec
[6500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[6600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[6700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[6800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.96 sec
[6900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.99 sec
[7000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[7100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[7200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[7300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[7400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.98 sec
[7500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[7600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[7700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.15 sec
[7800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[7900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[8000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[8100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[8200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[8300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.11 sec
[8400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[8500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 47.97 sec
[8600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.01 sec
[8700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[8800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.22 sec
[8900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.00 sec
[9000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[9100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[9200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.09 sec
[9300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.10 sec
[9400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[9500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[9600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[9700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[9800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.07 sec
[9900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.26 sec
[10000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[10100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[10200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[10300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[10400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[10500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.10 sec
[10600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[10700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[10800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.18 sec
[10900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.10 sec
[11000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[11100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.03 sec
[11200]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.09 sec
[11300]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.20 sec
[11400]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.08 sec
[11500]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.04 sec
[11600]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.14 sec
[11700]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.02 sec
[11800]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.05 sec
[11900]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
[12000]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.09 sec
[12100]  RMSE: 0.5588 	 NLL: 1.1797 	 loss: nan 	 reg_loss: nan 	 lambda: 0.20 	 t: 48.06 sec
