Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[0]  RMSE: 0.3750 	 NLL: 1.0013 	 loss: 1.1790 	 reg_loss: 0.8885 	 lambda: 0.20 	 t: 19.03 sec
[100]  RMSE: 0.2429 	 NLL: 0.7685 	 loss: 0.8948 	 reg_loss: 0.6318 	 lambda: 0.20 	 t: 54.37 sec
[200]  RMSE: 0.2429 	 NLL: 0.4546 	 loss: 0.6119 	 reg_loss: 0.7867 	 lambda: 0.20 	 t: 52.01 sec
[300]  RMSE: 0.2250 	 NLL: 0.0855 	 loss: 0.2405 	 reg_loss: 0.7750 	 lambda: 0.20 	 t: 51.50 sec
[400]  RMSE: 0.2186 	 NLL: -0.0594 	 loss: 0.1029 	 reg_loss: 0.8115 	 lambda: 0.20 	 t: 51.58 sec
[500]  RMSE: 0.2186 	 NLL: -0.0594 	 loss: 0.1560 	 reg_loss: 0.7423 	 lambda: 0.20 	 t: 50.04 sec
[600]  RMSE: 0.2157 	 NLL: -0.0594 	 loss: 0.0792 	 reg_loss: 0.6605 	 lambda: 0.20 	 t: 50.30 sec
[700]  RMSE: 0.2157 	 NLL: -0.0594 	 loss: 0.1567 	 reg_loss: 0.6595 	 lambda: 0.20 	 t: 49.76 sec
[800]  RMSE: 0.2157 	 NLL: -0.0594 	 loss: 0.0526 	 reg_loss: 0.5563 	 lambda: 0.20 	 t: 49.95 sec
[900]  RMSE: 0.2157 	 NLL: -0.0594 	 loss: 0.0577 	 reg_loss: 0.5211 	 lambda: 0.20 	 t: 49.73 sec
[1000]  RMSE: 0.2157 	 NLL: -0.0594 	 loss: 0.0863 	 reg_loss: 0.4913 	 lambda: 0.20 	 t: 49.74 sec
[1100]  RMSE: 0.2131 	 NLL: -0.0962 	 loss: -0.0100 	 reg_loss: 0.4308 	 lambda: 0.20 	 t: 50.71 sec
[1200]  RMSE: 0.1958 	 NLL: -0.1601 	 loss: -0.0881 	 reg_loss: 0.3600 	 lambda: 0.20 	 t: 50.71 sec
