Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Sa 17. Apr 16:07:24 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[0]  RMSE: 0.5772 	 NLL: 1.1867 	 loss: 1.5055 	 reg_loss: 1.5936 	 lambda: 0.20 	 t: 14.50 sec
[100]  RMSE: 0.2401 	 NLL: 0.0642 	 loss: 0.1566 	 reg_loss: 0.4618 	 lambda: 0.20 	 t: 49.82 sec
[200]  RMSE: 0.2368 	 NLL: 0.0642 	 loss: 0.1683 	 reg_loss: 0.3690 	 lambda: 0.20 	 t: 49.09 sec
[300]  RMSE: 0.2245 	 NLL: 0.0048 	 loss: 0.0675 	 reg_loss: 0.3137 	 lambda: 0.20 	 t: 49.85 sec
[400]  RMSE: 0.2245 	 NLL: 0.0048 	 loss: 0.0918 	 reg_loss: 0.3133 	 lambda: 0.20 	 t: 48.94 sec
[500]  RMSE: 0.2117 	 NLL: -0.0801 	 loss: -0.0297 	 reg_loss: 0.2517 	 lambda: 0.20 	 t: 50.09 sec
[600]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: -0.1830 	 reg_loss: 0.2225 	 lambda: 0.20 	 t: 49.94 sec
[700]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: 0.0340 	 reg_loss: 0.2835 	 lambda: 0.20 	 t: 49.04 sec
[800]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: -0.0759 	 reg_loss: 0.2599 	 lambda: 0.20 	 t: 48.96 sec
[900]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: 0.0125 	 reg_loss: 0.2923 	 lambda: 0.20 	 t: 48.93 sec
[1000]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: -0.0974 	 reg_loss: 0.2717 	 lambda: 0.20 	 t: 48.93 sec
[1100]  RMSE: 0.1909 	 NLL: -0.2276 	 loss: -0.1435 	 reg_loss: 0.2459 	 lambda: 0.20 	 t: 48.89 sec
[1200]  RMSE: 0.1863 	 NLL: -0.3348 	 loss: -0.2934 	 reg_loss: 0.2074 	 lambda: 0.20 	 t: 49.89 sec
[1300]  RMSE: 0.1863 	 NLL: -0.3348 	 loss: -0.2870 	 reg_loss: 0.2275 	 lambda: 0.20 	 t: 48.89 sec
[1400]  RMSE: 0.1863 	 NLL: -0.3348 	 loss: -0.1990 	 reg_loss: 0.2318 	 lambda: 0.20 	 t: 48.84 sec
[1500]  RMSE: 0.1753 	 NLL: -0.4447 	 loss: -0.4058 	 reg_loss: 0.1943 	 lambda: 0.20 	 t: 49.95 sec
[1600]  RMSE: 0.1753 	 NLL: -0.4447 	 loss: -0.3214 	 reg_loss: 0.2126 	 lambda: 0.20 	 t: 48.82 sec
[1700]  RMSE: 0.1622 	 NLL: -0.5725 	 loss: -0.5380 	 reg_loss: 0.1727 	 lambda: 0.20 	 t: 49.91 sec
[1800]  RMSE: 0.1622 	 NLL: -0.5725 	 loss: -0.4282 	 reg_loss: 0.1870 	 lambda: 0.20 	 t: 48.99 sec
[1900]  RMSE: 0.1502 	 NLL: -0.5997 	 loss: -0.5680 	 reg_loss: 0.1584 	 lambda: 0.20 	 t: 49.96 sec
[2000]  RMSE: 0.1502 	 NLL: -0.6745 	 loss: -0.6440 	 reg_loss: 0.1523 	 lambda: 0.20 	 t: 49.53 sec
[2100]  RMSE: 0.1393 	 NLL: -0.7281 	 loss: -0.6996 	 reg_loss: 0.1428 	 lambda: 0.20 	 t: 49.89 sec
[2200]  RMSE: 0.1393 	 NLL: -0.7281 	 loss: -0.6493 	 reg_loss: 0.1490 	 lambda: 0.20 	 t: 48.99 sec
[2300]  RMSE: 0.1393 	 NLL: -0.7284 	 loss: -0.7006 	 reg_loss: 0.1389 	 lambda: 0.20 	 t: 52.07 sec
[2400]  RMSE: 0.1393 	 NLL: -0.7292 	 loss: -0.7004 	 reg_loss: 0.1442 	 lambda: 0.20 	 t: 49.38 sec
[2500]  RMSE: 0.1338 	 NLL: -0.9170 	 loss: -0.8922 	 reg_loss: 0.1240 	 lambda: 0.20 	 t: 49.88 sec
[2600]  RMSE: 0.1338 	 NLL: -0.9170 	 loss: -0.8724 	 reg_loss: 0.1202 	 lambda: 0.20 	 t: 48.83 sec
[2700]  RMSE: 0.1225 	 NLL: -0.9338 	 loss: -0.9103 	 reg_loss: 0.1177 	 lambda: 0.20 	 t: 49.86 sec
[2800]  RMSE: 0.1225 	 NLL: -0.9527 	 loss: -0.9294 	 reg_loss: 0.1167 	 lambda: 0.20 	 t: 49.48 sec
[2900]  RMSE: 0.1225 	 NLL: -1.0739 	 loss: -1.0527 	 reg_loss: 0.1059 	 lambda: 0.20 	 t: 49.50 sec
[3000]  RMSE: 0.1225 	 NLL: -1.0739 	 loss: -1.0033 	 reg_loss: 0.1116 	 lambda: 0.20 	 t: 48.85 sec
[3100]  RMSE: 0.1225 	 NLL: -1.0746 	 loss: -1.0533 	 reg_loss: 0.1066 	 lambda: 0.20 	 t: 49.56 sec
[3200]  RMSE: 0.1193 	 NLL: -1.1016 	 loss: -1.0806 	 reg_loss: 0.1051 	 lambda: 0.20 	 t: 49.87 sec
[3300]  RMSE: 0.1193 	 NLL: -1.1016 	 loss: -1.0679 	 reg_loss: 0.1012 	 lambda: 0.20 	 t: 48.84 sec
[3400]  RMSE: 0.1189 	 NLL: -1.1542 	 loss: -1.1343 	 reg_loss: 0.0996 	 lambda: 0.20 	 t: 49.76 sec
[3500]  RMSE: 0.1151 	 NLL: -1.2853 	 loss: -1.2671 	 reg_loss: 0.0911 	 lambda: 0.20 	 t: 49.83 sec
[3600]  RMSE: 0.1151 	 NLL: -1.2853 	 loss: -1.0906 	 reg_loss: 0.1035 	 lambda: 0.20 	 t: 48.78 sec
[3700]  RMSE: 0.1151 	 NLL: -1.2853 	 loss: -1.2613 	 reg_loss: 0.0886 	 lambda: 0.20 	 t: 48.76 sec
[3800]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.3548 	 reg_loss: 0.0831 	 lambda: 0.20 	 t: 49.92 sec
[3900]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.1933 	 reg_loss: 0.0976 	 lambda: 0.20 	 t: 48.80 sec
[4000]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.1976 	 reg_loss: 0.0953 	 lambda: 0.20 	 t: 48.83 sec
[4100]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.3218 	 reg_loss: 0.0858 	 lambda: 0.20 	 t: 48.89 sec
[4200]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.1870 	 reg_loss: 0.0942 	 lambda: 0.20 	 t: 48.80 sec
[4300]  RMSE: 0.1054 	 NLL: -1.3714 	 loss: -1.2899 	 reg_loss: 0.0873 	 lambda: 0.20 	 t: 48.82 sec
[4400]  RMSE: 0.1054 	 NLL: -1.5536 	 loss: -1.5386 	 reg_loss: 0.0750 	 lambda: 0.20 	 t: 49.44 sec
[4500]  RMSE: 0.1054 	 NLL: -1.5536 	 loss: -1.4201 	 reg_loss: 0.0829 	 lambda: 0.20 	 t: 48.92 sec
[4600]  RMSE: 0.1054 	 NLL: -1.5536 	 loss: -1.4337 	 reg_loss: 0.0895 	 lambda: 0.20 	 t: 48.85 sec
[4700]  RMSE: 0.1054 	 NLL: -1.5536 	 loss: -1.0745 	 reg_loss: 0.0987 	 lambda: 0.20 	 t: 48.85 sec
[4800]  RMSE: 0.0911 	 NLL: -1.5662 	 loss: -1.5523 	 reg_loss: 0.0696 	 lambda: 0.20 	 t: 49.82 sec
[4900]  RMSE: 0.0911 	 NLL: -1.5662 	 loss: -1.2591 	 reg_loss: 0.0919 	 lambda: 0.20 	 t: 48.82 sec
[5000]  RMSE: 0.0911 	 NLL: -1.5662 	 loss: -1.4571 	 reg_loss: 0.0813 	 lambda: 0.20 	 t: 48.90 sec
[5100]  RMSE: 0.0911 	 NLL: -1.6829 	 loss: -1.6691 	 reg_loss: 0.0693 	 lambda: 0.20 	 t: 49.46 sec
[5200]  RMSE: 0.0911 	 NLL: -1.6829 	 loss: -1.4637 	 reg_loss: 0.0763 	 lambda: 0.20 	 t: 48.83 sec
[5300]  RMSE: 0.0911 	 NLL: -1.6829 	 loss: -1.4322 	 reg_loss: 0.0822 	 lambda: 0.20 	 t: 48.76 sec
[5400]  RMSE: 0.0911 	 NLL: -1.6829 	 loss: -1.5256 	 reg_loss: 0.0775 	 lambda: 0.20 	 t: 48.90 sec
[5500]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.7852 	 reg_loss: 0.0611 	 lambda: 0.20 	 t: 49.82 sec
[5600]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.3484 	 reg_loss: 0.0851 	 lambda: 0.20 	 t: 48.88 sec
[5700]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.5808 	 reg_loss: 0.0778 	 lambda: 0.20 	 t: 48.90 sec
[5800]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.5851 	 reg_loss: 0.0744 	 lambda: 0.20 	 t: 48.78 sec
[5900]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.5495 	 reg_loss: 0.0816 	 lambda: 0.20 	 t: 48.82 sec
[6000]  RMSE: 0.0903 	 NLL: -1.7975 	 loss: -1.6625 	 reg_loss: 0.0766 	 lambda: 0.20 	 t: 48.81 sec
[6100]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.6967 	 reg_loss: 0.0615 	 lambda: 0.20 	 t: 49.14 sec
[6200]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.7072 	 reg_loss: 0.0673 	 lambda: 0.20 	 t: 48.82 sec
[6300]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.6774 	 reg_loss: 0.0708 	 lambda: 0.20 	 t: 48.86 sec
[6400]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.7066 	 reg_loss: 0.0689 	 lambda: 0.20 	 t: 48.76 sec
[6500]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.7563 	 reg_loss: 0.0662 	 lambda: 0.20 	 t: 48.87 sec
[6600]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.6658 	 reg_loss: 0.0673 	 lambda: 0.20 	 t: 48.83 sec
[6700]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.5499 	 reg_loss: 0.0778 	 lambda: 0.20 	 t: 48.98 sec
[6800]  RMSE: 0.0812 	 NLL: -1.7975 	 loss: -1.6290 	 reg_loss: 0.0733 	 lambda: 0.20 	 t: 48.85 sec
[6900]  RMSE: 0.0812 	 NLL: -1.8700 	 loss: -1.8587 	 reg_loss: 0.0567 	 lambda: 0.20 	 t: 49.51 sec
[7000]  RMSE: 0.0812 	 NLL: -1.8700 	 loss: -1.7218 	 reg_loss: 0.0694 	 lambda: 0.20 	 t: 48.85 sec
