Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[0] 	 RMSE: 0.5797 	 NLL: 0.9015 	 train_loss: 1.0795 	 t: 13.21 sec
[100] 	 RMSE: 0.3245 	 NLL: 0.3089 	 train_loss: 0.2842 	 t: 26.30 sec
[200] 	 RMSE: 0.2261 	 NLL: -0.0539 	 train_loss: 0.0616 	 t: 26.32 sec
[300] 	 RMSE: 0.2205 	 NLL: -0.0782 	 train_loss: 0.0820 	 t: 26.14 sec
[400] 	 RMSE: 0.2205 	 NLL: -0.0782 	 train_loss: 0.0069 	 t: 25.87 sec
[500] 	 RMSE: 0.2205 	 NLL: -0.0782 	 train_loss: -0.0295 	 t: 25.68 sec
[600] 	 RMSE: 0.2205 	 NLL: -0.0782 	 train_loss: 0.0276 	 t: 25.72 sec
[700] 	 RMSE: 0.2158 	 NLL: -0.0985 	 train_loss: 0.1296 	 t: 26.25 sec
[800] 	 RMSE: 0.2158 	 NLL: -0.1096 	 train_loss: -0.1373 	 t: 25.91 sec
[900] 	 RMSE: 0.2158 	 NLL: -0.1096 	 train_loss: 0.1198 	 t: 25.87 sec
[1000] 	 RMSE: 0.2158 	 NLL: -0.1181 	 train_loss: -0.0707 	 t: 25.93 sec
[1100] 	 RMSE: 0.2158 	 NLL: -0.1181 	 train_loss: -0.0103 	 t: 25.88 sec
[1200] 	 RMSE: 0.2158 	 NLL: -0.1181 	 train_loss: -0.1435 	 t: 25.99 sec
[1300] 	 RMSE: 0.2146 	 NLL: -0.1403 	 train_loss: -0.0655 	 t: 26.29 sec
[1400] 	 RMSE: 0.2146 	 NLL: -0.1403 	 train_loss: -0.2397 	 t: 25.89 sec
[1500] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.1735 	 t: 26.20 sec
[1600] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.2090 	 t: 25.93 sec
[1700] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.2209 	 t: 25.83 sec
[1800] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.2732 	 t: 25.85 sec
[1900] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.1887 	 t: 25.78 sec
[2000] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.3082 	 t: 25.84 sec
[2100] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.3116 	 t: 25.94 sec
[2200] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.2016 	 t: 25.82 sec
[2300] 	 RMSE: 0.1861 	 NLL: -0.3213 	 train_loss: -0.2463 	 t: 25.98 sec
[2400] 	 RMSE: 0.1850 	 NLL: -0.3213 	 train_loss: -0.2858 	 t: 25.94 sec
[2500] 	 RMSE: 0.1850 	 NLL: -0.3213 	 train_loss: -0.3618 	 t: 25.85 sec
[2600] 	 RMSE: 0.1823 	 NLL: -0.3213 	 train_loss: -0.4174 	 t: 26.26 sec
[2700] 	 RMSE: 0.1823 	 NLL: -0.3213 	 train_loss: -0.4768 	 t: 25.69 sec
[2800] 	 RMSE: 0.1732 	 NLL: -0.3213 	 train_loss: -0.5421 	 t: 26.02 sec
[2900] 	 RMSE: 0.1732 	 NLL: -0.3213 	 train_loss: -0.2526 	 t: 25.71 sec
[3000] 	 RMSE: 0.1732 	 NLL: -0.3213 	 train_loss: -0.5195 	 t: 25.85 sec
[3100] 	 RMSE: 0.1686 	 NLL: -0.3953 	 train_loss: -0.5054 	 t: 26.31 sec
[3200] 	 RMSE: 0.1686 	 NLL: -0.3953 	 train_loss: -0.6474 	 t: 25.85 sec
[3300] 	 RMSE: 0.1680 	 NLL: -0.3953 	 train_loss: -0.4225 	 t: 26.15 sec
[3400] 	 RMSE: 0.1651 	 NLL: -0.5112 	 train_loss: -0.5063 	 t: 26.20 sec
[3500] 	 RMSE: 0.1651 	 NLL: -0.5112 	 train_loss: -0.5413 	 t: 26.02 sec
[3600] 	 RMSE: 0.1651 	 NLL: -0.5112 	 train_loss: -0.4433 	 t: 25.95 sec
[3700] 	 RMSE: 0.1539 	 NLL: -0.5112 	 train_loss: -0.6221 	 t: 26.19 sec
[3800] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.6735 	 t: 26.28 sec
[3900] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.8461 	 t: 25.67 sec
[4000] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.4699 	 t: 25.75 sec
[4100] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7304 	 t: 25.88 sec
[4200] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.8096 	 t: 25.70 sec
[4300] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.5777 	 t: 25.70 sec
[4400] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.6066 	 t: 25.95 sec
[4500] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.6996 	 t: 25.69 sec
[4600] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7429 	 t: 25.95 sec
[4700] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.8217 	 t: 25.69 sec
[4800] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7665 	 t: 25.89 sec
[4900] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7713 	 t: 25.61 sec
[5000] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.8619 	 t: 25.61 sec
[5100] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7987 	 t: 25.72 sec
[5200] 	 RMSE: 0.1373 	 NLL: -0.6072 	 train_loss: -0.7904 	 t: 25.65 sec
[5300] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.7865 	 t: 25.94 sec
[5400] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.8639 	 t: 25.71 sec
[5500] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.8482 	 t: 25.85 sec
[5600] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.8995 	 t: 25.74 sec
[5700] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.9714 	 t: 25.83 sec
[5800] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.7775 	 t: 25.68 sec
[5900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9934 	 t: 26.00 sec
[6000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9784 	 t: 25.80 sec
