Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[0] 	 RMSE: 0.4775 	 NLL: 11.3826 	 train_loss: 0.8716 	 t: 12.02 sec
[100] 	 RMSE: 0.2478 	 NLL: 2.0116 	 train_loss: 0.0598 	 t: 42.67 sec
[200] 	 RMSE: 0.2468 	 NLL: 1.9828 	 train_loss: 0.0202 	 t: 39.55 sec
[300] 	 RMSE: 0.2421 	 NLL: 1.8542 	 train_loss: 0.0574 	 t: 37.32 sec
[400] 	 RMSE: 0.2421 	 NLL: 1.8542 	 train_loss: 0.0295 	 t: 36.48 sec
[500] 	 RMSE: 0.2408 	 NLL: 1.8203 	 train_loss: -0.0864 	 t: 36.69 sec
[600] 	 RMSE: 0.2166 	 NLL: 1.1975 	 train_loss: -0.0255 	 t: 36.64 sec
[700] 	 RMSE: 0.2166 	 NLL: 1.1975 	 train_loss: -0.0228 	 t: 36.12 sec
[800] 	 RMSE: 0.2166 	 NLL: 1.1975 	 train_loss: -0.0697 	 t: 36.06 sec
[900] 	 RMSE: 0.2086 	 NLL: 1.0046 	 train_loss: -0.1786 	 t: 36.45 sec
[1000] 	 RMSE: 0.2086 	 NLL: 1.0046 	 train_loss: -0.1144 	 t: 36.16 sec
[1100] 	 RMSE: 0.2086 	 NLL: 1.0046 	 train_loss: -0.1803 	 t: 36.07 sec
[1200] 	 RMSE: 0.2064 	 NLL: 0.9533 	 train_loss: -0.1354 	 t: 36.43 sec
[1300] 	 RMSE: 0.2008 	 NLL: 0.8247 	 train_loss: -0.0601 	 t: 36.49 sec
[1400] 	 RMSE: 0.2008 	 NLL: 0.8247 	 train_loss: -0.1158 	 t: 38.46 sec
[1500] 	 RMSE: 0.2008 	 NLL: 0.8247 	 train_loss: -0.1822 	 t: 40.30 sec
[1600] 	 RMSE: 0.2008 	 NLL: 0.8247 	 train_loss: -0.2390 	 t: 40.65 sec
[1700] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.2105 	 t: 40.95 sec
[1800] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.0677 	 t: 41.14 sec
[1900] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.1362 	 t: 38.75 sec
[2000] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.2480 	 t: 36.30 sec
[2100] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.2608 	 t: 36.26 sec
[2200] 	 RMSE: 0.2003 	 NLL: 0.8136 	 train_loss: -0.2904 	 t: 36.39 sec
[2300] 	 RMSE: 0.1849 	 NLL: 0.4810 	 train_loss: -0.1250 	 t: 36.45 sec
[2400] 	 RMSE: 0.1844 	 NLL: 0.4703 	 train_loss: -0.2241 	 t: 36.31 sec
[2500] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.1585 	 t: 36.84 sec
[2600] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3518 	 t: 36.56 sec
[2700] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3581 	 t: 36.53 sec
[2800] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3995 	 t: 36.55 sec
[2900] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3409 	 t: 36.31 sec
[3000] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3577 	 t: 36.33 sec
[3100] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.2240 	 t: 36.36 sec
[3200] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.4026 	 t: 36.42 sec
[3300] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3243 	 t: 36.23 sec
[3400] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.4776 	 t: 36.14 sec
[3500] 	 RMSE: 0.1691 	 NLL: 0.1650 	 train_loss: -0.3796 	 t: 36.49 sec
