Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 18:43:00 CEST 2021
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[0] 	 RMSE: 0.4964 	 NLL: 12.4187 	 train_loss: 19017.7266 	 t: 12.15 sec
[100] 	 RMSE: 0.2481 	 NLL: 2.0206 	 train_loss: 13354.3301 	 t: 42.05 sec
[200] 	 RMSE: 0.2316 	 NLL: 1.5739 	 train_loss: 13228.3457 	 t: 39.82 sec
[300] 	 RMSE: 0.2313 	 NLL: 1.5664 	 train_loss: 12218.7852 	 t: 38.23 sec
[400] 	 RMSE: 0.2313 	 NLL: 1.5664 	 train_loss: 12356.7012 	 t: 37.27 sec
[500] 	 RMSE: 0.2159 	 NLL: 1.1795 	 train_loss: 12965.8594 	 t: 37.23 sec
[600] 	 RMSE: 0.2159 	 NLL: 1.1795 	 train_loss: 11862.9609 	 t: 36.67 sec
[700] 	 RMSE: 0.2079 	 NLL: 0.9884 	 train_loss: 12250.4795 	 t: 36.97 sec
[800] 	 RMSE: 0.2079 	 NLL: 0.9884 	 train_loss: 11372.0938 	 t: 36.69 sec
[900] 	 RMSE: 0.2079 	 NLL: 0.9884 	 train_loss: 11307.1602 	 t: 36.69 sec
[1000] 	 RMSE: 0.2026 	 NLL: 0.8671 	 train_loss: 11707.1279 	 t: 37.11 sec
[1100] 	 RMSE: 0.2026 	 NLL: 0.8671 	 train_loss: 11276.6055 	 t: 36.51 sec
[1200] 	 RMSE: 0.2026 	 NLL: 0.8671 	 train_loss: 11229.6572 	 t: 36.74 sec
[1300] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 11314.0156 	 t: 37.10 sec
[1400] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 11618.5527 	 t: 36.57 sec
[1500] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 10974.7637 	 t: 36.76 sec
[1600] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 10730.3789 	 t: 36.48 sec
[1700] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 10569.0703 	 t: 37.11 sec
[1800] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 11056.8965 	 t: 36.63 sec
[1900] 	 RMSE: 0.1968 	 NLL: 0.7359 	 train_loss: 10765.0527 	 t: 36.52 sec
[2000] 	 RMSE: 0.1908 	 NLL: 0.6054 	 train_loss: 10647.2324 	 t: 36.96 sec
[2100] 	 RMSE: 0.1895 	 NLL: 0.5784 	 train_loss: 10689.5420 	 t: 37.02 sec
[2200] 	 RMSE: 0.1895 	 NLL: 0.5784 	 train_loss: 10498.4473 	 t: 36.99 sec
[2300] 	 RMSE: 0.1895 	 NLL: 0.5784 	 train_loss: 9975.4502 	 t: 36.72 sec
[2400] 	 RMSE: 0.1818 	 NLL: 0.4174 	 train_loss: 9845.5820 	 t: 37.07 sec
[2500] 	 RMSE: 0.1754 	 NLL: 0.2874 	 train_loss: 10044.5713 	 t: 37.11 sec
[2600] 	 RMSE: 0.1698 	 NLL: 0.1785 	 train_loss: 10668.3535 	 t: 37.27 sec
[2700] 	 RMSE: 0.1698 	 NLL: 0.1785 	 train_loss: 9816.8965 	 t: 36.72 sec
[2800] 	 RMSE: 0.1698 	 NLL: 0.1785 	 train_loss: 9746.3887 	 t: 36.68 sec
[2900] 	 RMSE: 0.1698 	 NLL: 0.1785 	 train_loss: 10103.5352 	 t: 36.72 sec
[3000] 	 RMSE: 0.1638 	 NLL: 0.0669 	 train_loss: 10123.9990 	 t: 36.88 sec
[3100] 	 RMSE: 0.1638 	 NLL: 0.0669 	 train_loss: 9777.6738 	 t: 36.48 sec
[3200] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9194.9561 	 t: 37.00 sec
[3300] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9201.9258 	 t: 36.59 sec
[3400] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9414.6562 	 t: 36.23 sec
[3500] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9084.0176 	 t: 36.28 sec
[3600] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9607.5430 	 t: 36.52 sec
[3700] 	 RMSE: 0.1480 	 NLL: -0.2108 	 train_loss: 9193.9766 	 t: 36.50 sec
[3800] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 8965.9805 	 t: 37.13 sec
[3900] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 9401.6357 	 t: 36.62 sec
[4000] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 8935.1855 	 t: 36.50 sec
[4100] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 8970.9531 	 t: 36.61 sec
[4200] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 9074.9873 	 t: 36.35 sec
[4300] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 8952.3467 	 t: 36.65 sec
[4400] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 8891.8496 	 t: 36.36 sec
[4500] 	 RMSE: 0.1457 	 NLL: -0.2481 	 train_loss: 9052.0859 	 t: 36.72 sec
[4600] 	 RMSE: 0.1281 	 NLL: -0.5190 	 train_loss: 9014.8789 	 t: 36.77 sec
[4700] 	 RMSE: 0.1281 	 NLL: -0.5190 	 train_loss: 8809.7520 	 t: 36.14 sec
[4800] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 9255.3857 	 t: 40.15 sec
